seed,process,representation,reconstructor,logloss,n_states,C_mu
0,even_process,last_1,one_step_greedy_merge,0.45577401038440546,2,0.4665464766290878
0,even_process,last_2,one_step_greedy_merge,0.43396318353422947,3,0.8144953101436923
0,even_process,last_3,one_step_greedy_merge,0.4274973064889855,3,0.9371627410146948
0,even_process,last_4,one_step_greedy_merge,0.4119742735757653,3,1.0385172741973099
0,even_process,last_6,one_step_greedy_merge,0.39606807864092836,5,1.1420798605619435
0,even_process,last_8,one_step_greedy_merge,0.38513250808127036,10,1.4189198032335422
0,even_process,last_12,one_step_greedy_merge,0.37285337740269603,22,1.6046597583193734
1,even_process,last_1,one_step_greedy_merge,0.45431721736613084,2,0.46719951093074097
1,even_process,last_2,one_step_greedy_merge,0.43278407227602084,3,0.8159223788830392
1,even_process,last_3,one_step_greedy_merge,0.4251117755478769,3,0.9385016778294661
1,even_process,last_4,one_step_greedy_merge,0.4102848890703677,3,1.039641080544644
1,even_process,last_6,one_step_greedy_merge,0.3949621825881997,5,1.2986007616323438
1,even_process,last_8,one_step_greedy_merge,0.3843548143895793,9,1.4279507424673692
1,even_process,last_12,one_step_greedy_merge,0.3728491836007353,23,1.543406333554926
2,even_process,last_1,one_step_greedy_merge,0.4549278321685639,2,0.4651884338782612
2,even_process,last_2,one_step_greedy_merge,0.433268218723755,3,0.8124057760492275
2,even_process,last_3,one_step_greedy_merge,0.42667188039959975,3,0.9354780425621374
2,even_process,last_4,one_step_greedy_merge,0.41130608821764025,3,1.037693838321994
2,even_process,last_6,one_step_greedy_merge,0.3958643726989247,4,1.355502858466473
2,even_process,last_8,one_step_greedy_merge,0.3849206664590656,10,1.3253668429848806
2,even_process,last_12,one_step_greedy_merge,0.3734826378983614,23,1.5847032726826182
3,even_process,last_1,one_step_greedy_merge,0.4560980328600786,2,0.46549711127871235
3,even_process,last_2,one_step_greedy_merge,0.43441210798954727,3,0.8128060819761698
3,even_process,last_3,one_step_greedy_merge,0.4269750193650674,3,0.9357656210649155
3,even_process,last_4,one_step_greedy_merge,0.4119584564473484,4,1.062173081533309
3,even_process,last_6,one_step_greedy_merge,0.396348729330183,5,1.221982952233975
3,even_process,last_8,one_step_greedy_merge,0.38580283489118705,9,1.4474890111349137
3,even_process,last_12,one_step_greedy_merge,0.3757383200303371,24,1.5351579131954576
4,even_process,last_1,one_step_greedy_merge,0.45715274964501623,2,0.46609920212591577
4,even_process,last_2,one_step_greedy_merge,0.43485372195646543,3,0.8139422730168846
4,even_process,last_3,one_step_greedy_merge,0.4280541111177848,3,0.9367762143850002
4,even_process,last_4,one_step_greedy_merge,0.41231886917032934,3,1.0382655869780817
4,even_process,last_6,one_step_greedy_merge,0.3962148751660517,4,1.1091764157243786
4,even_process,last_8,one_step_greedy_merge,0.38542729056275377,9,1.2408289975669196
4,even_process,last_12,one_step_greedy_merge,0.3727132750122133,23,1.5904552285343148
