seed,length,train_frac,process,base_process,flip_p,subsample_step,wrappers,condition_id,representation,k,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_2_noisy,2,one_step_greedy_merge,0.6088881193591276,2,0.6931463279225967,1.0,0.0
0,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_3_noisy,3,one_step_greedy_merge,0.6088908054508027,2,0.6931463313876086,1.0,0.0
0,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_4_noisy,4,one_step_greedy_merge,0.6088844677412504,2,0.6931463348455837,1.0,0.0
0,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_5_noisy,5,one_step_greedy_merge,0.6089264523751337,4,1.124397366377975,0.7999968084597094,0.5113355055226858
1,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_2_noisy,2,one_step_greedy_merge,0.6087270535779616,2,0.6931447382338718,1.0,0.0
1,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_3_noisy,3,one_step_greedy_merge,0.6087206892158349,2,0.6931447440954209,1.0,0.0
1,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_4_noisy,4,one_step_greedy_merge,0.60872261120563,3,0.728385627309611,0.9933749119004243,0.03915425586030066
1,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_5_noisy,5,one_step_greedy_merge,0.608770579385812,5,1.2407595621709402,0.7727410543785274,0.7356954575807066
2,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_2_noisy,2,one_step_greedy_merge,0.6113750551327647,2,0.6931471804715272,1.0,0.0
2,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_3_noisy,3,one_step_greedy_merge,0.611377770549961,2,0.6931471805033573,1.0,0.0
2,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_4_noisy,4,one_step_greedy_merge,0.6113804784192663,2,0.6931471804715261,1.0,0.0
2,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_5_noisy,5,one_step_greedy_merge,0.6114417658758825,4,1.125920357649978,0.8231567525013697,0.5353966720170515
3,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_2_noisy,2,one_step_greedy_merge,0.6088956861928759,2,0.6931463486336676,1.0,0.0
3,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_3_noisy,3,one_step_greedy_merge,0.6088893137310254,2,0.6931463451950627,1.0,0.0
3,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_4_noisy,4,one_step_greedy_merge,0.6089018437499395,3,0.7289013425738483,0.9932499102381681,0.039685202754312296
3,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_5_noisy,5,one_step_greedy_merge,0.608956885212012,6,1.123417081377875,0.8727798847853955,0.49668022010127716
4,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_2_noisy,2,one_step_greedy_merge,0.6142425328765531,2,0.6931457634326277,1.0,0.0
4,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_3_noisy,3,one_step_greedy_merge,0.6142452534706516,2,0.6931457589440314,1.0,0.0
4,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_4_noisy,4,one_step_greedy_merge,0.6142379848931326,4,0.9929998351787409,0.9105360443622921,0.24718587971050351
4,470000,0.8,sns,sns,0.0,1,,flip0_sub1,last_5_noisy,5,one_step_greedy_merge,0.614295572399374,5,1.260684897760439,0.7351846040096385,0.743277178447716
