seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score
0,even_process,last_1,one_step_greedy_merge,0.4538201238983083,2,0.4666559684239722,1.0
0,even_process,last_2,one_step_greedy_merge,0.4326013676836567,3,0.8150874126971792,1.0
0,even_process,last_3,one_step_greedy_merge,0.4259485204420078,3,0.937831280998722,0.9136830910020577
0,even_process,last_4,one_step_greedy_merge,0.41090605855304957,3,1.038844129411499,0.9136815350319798
0,even_process,last_5,one_step_greedy_merge,0.40610563055812693,4,1.1125622344198085,0.9284319220791706
0,even_process,last_6,one_step_greedy_merge,0.3955366434779736,5,1.1678770635428042,0.9201429905707738
1,even_process,last_1,one_step_greedy_merge,0.4574085219758536,2,0.46705933204669375,1.0
1,even_process,last_2,one_step_greedy_merge,0.4353299884076575,3,0.815756589913655,1.0
1,even_process,last_3,one_step_greedy_merge,0.42818151599835846,3,0.9383917553253364,0.9132610543509059
1,even_process,last_4,one_step_greedy_merge,0.41274731149576105,3,1.0395627665762683,0.9132648596845768
1,even_process,last_5,one_step_greedy_merge,0.4084559302822332,4,1.0714195748763844,0.9383734593364833
1,even_process,last_6,one_step_greedy_merge,0.39735827043198024,5,1.1457665134785509,0.9283687440883693
2,even_process,last_1,one_step_greedy_merge,0.4531525773777457,2,0.4661494943820689,1.0
2,even_process,last_2,one_step_greedy_merge,0.43147437890971085,3,0.8134775438398579,1.0
2,even_process,last_3,one_step_greedy_merge,0.42510743643501286,3,0.9361566151162621,0.9132443874064567
2,even_process,last_4,one_step_greedy_merge,0.4095876846463905,3,1.0381641096773102,0.9132440259172065
2,even_process,last_5,one_step_greedy_merge,0.4045093573432008,4,1.316049696815247,0.9059268148370376
2,even_process,last_6,one_step_greedy_merge,0.3937304843342149,5,1.1583465723166535,0.9236436062718494
3,even_process,last_1,one_step_greedy_merge,0.4564388133654456,2,0.4646578156133486,1.0
3,even_process,last_2,one_step_greedy_merge,0.434709450790968,3,0.8120174897144643,1.0
3,even_process,last_3,one_step_greedy_merge,0.42780463465414814,3,0.9353602983415188,0.9138693978232971
3,even_process,last_4,one_step_greedy_merge,0.4125219194024601,4,1.0613371341806626,0.910443967582658
3,even_process,last_5,one_step_greedy_merge,0.40709095033059367,5,1.2022439029413807,0.8986557997283267
3,even_process,last_6,one_step_greedy_merge,0.39663051853358205,5,1.313749940597615,0.8642543740859109
4,even_process,last_1,one_step_greedy_merge,0.45525689911276157,2,0.46663034206333254,1.0
4,even_process,last_2,one_step_greedy_merge,0.4336487375155176,3,0.81499805940403,1.0
4,even_process,last_3,one_step_greedy_merge,0.42690964737729176,3,0.93773744794072,0.9135568926148769
4,even_process,last_4,one_step_greedy_merge,0.4116406978011317,3,1.038895766501219,0.913556532427759
4,even_process,last_5,one_step_greedy_merge,0.40563098956693894,4,1.1230111888813092,0.9274773536005068
4,even_process,last_6,one_step_greedy_merge,0.395382929650763,4,1.2109043342757482,0.9112390778064361
